Course Title,Rating
 Assisting Public Sector Decision Makers With Policy Analysis,4.8
 Atención prehospitalaria del ictus agudo y selección de pacientes para tratamiento endovascular con la escala RACE,4.9
 Build a social media presence for your business using Canva,4.7
 Build social awareness content for Twitter with Canva,0.0
" Comercio, Inmigración y Tipos de Cambio en un Mundo Globalizado",4.9
 FPGA computing systems: Background knowledge and introductory materials,4.6
 Fundamentals of Business Problem Solving,0.0
 Future Healthcare Payment Models,4.5
 Generative AI: Elevate Your Data Science Career,0.0
 HEALTHY URBAN SYSTEMS - PART 1,0.0
 How to create Social Media graphics in Canva ,4.2
 IBM and ISC2 Cybersecurity Specialist Professional Certificate,4.8
 IT Security: Defense against the digital dark arts ,4.8
 Improving Immunity Based on Traditional Eastern Exercises,4.5
 Incrementar - Parte 2 y Controlar,4.7
 Intel® Network Academy - Network Transformation 101,4.5
 Introduction to Academic Writing,4.4
 Know Thyself - The Value and Limits of Self-Knowledge: The Examined Life,4.6
 Les bits et les octets des réseaux informatiques,4.8
 Manejo del enfermo semicrítico y crítico por COVID-19,4.8
 Market your new business with Canva,4.7
 Natural Language Processing and Capstone Assignment,4.7
 Physics 102  - Magnetic Fields and Faraday's Law,0.0
 Plane und erstelle einen Aufgabenkalender in Trello,0.0
 Predictive Analytics for Business with H2O in R,4.9
 Prehospital care of acute stroke and patient selection for endovascular treatment using the RACE scale,4.8
 Preparation for CompTIA A+ Certification Specialization,4.9
 Solving Business Problems with Spreadsheet Modeling,0.0
 Storytelling in Branding and Content Marketing ,4.4
 Supervised Machine Learning: Classification,4.8
 System Administration and IT Infrastructure Services,4.7
" The Great Sustainability Transition: Global challenges, Local actions",4.9
" Tobacco Control: Agile Policy, Research and Practice ",0.0
 Unsupervised Machine Learning,4.7
 Using Design to Generate Innovative Business Solutions,0.0
 أساسيات برنامج مايكروسوفت اكسيل | Essentials of MS Excel,4.9
 إدخال البيانات في مايكروسوفت إكسل,4.8
 البرمجة اللغوية العصبية | NLP ,4.7
 التنسيق في مايكروسوفت إكسل | Formatting in MS Excel ,5.0
 التوازن بين القدرات والتوقعات في بناء الذات,5.0
 بوستغرسيكويل مع تكنولوجيا المعلومات,0.0
 كيف توازن بين عملك وحياتك الشخصية,4.8
 مهارات التفكير الجانبي  | Lateral Thinking Skills,4.9
 مهارات تسوية النزاعات | Conflict Resolution Skills,0.0
 一堂課讓你認識肺癌（Basic Concepts of Lung Cancer: Diagnosis and Treatment）,4.9
"""Making"" Progress Teach-Out",4.2
#talkmentalillness,4.5
(Business Writing) الكتابة في مجال الأعمال,4.7
(Giving Helpful Feedback) إعطاء الملاحظات المفيدة,4.8
(ISC)² Systems Security Certified Practitioner (SSCP) ,4.8
(Non) Status quo Attitudes with NetLogo,0.0
(Successful Presentation) العرض التقديمي الناجح,4.8
.NET FullStack Developer Specialization,4.1
.Net Full Stack Foundation,4.1
1. 基礎知識：データはあらゆるところにある,4.7
1.- El Cálculo - Modelo Lineal,4.8
2. データに基づいた意思決定を行うための問いかけ,4.6
2.- El Cálculo - Modelo Cuadrático,4.8
20世纪西方音乐 Western Music in the 20th Century,4.4
21st Century Energy Transition: how do we make it work?,4.9
3-Axis Machining with Autodesk Fusion 360,4.9
3.- El Cálculo - Modelo Cúbico,4.7
3D CAD Application,4.8
3D CAD Fundamental,4.7
